code,description
SUG,GRAFFITI / SCRATCHITI
SUO,SECURITY OTHER
SUPOL,HELD BY POLICE -- NON TTC RELATED
SUROB,ROBBERY
SUSA,ASSAULT / SEXUAL
SUSP,SUSPICIOUS PACKAGE
SUUT,UNAUTHORIZED AT TRACK LEVEL
TUATC,ATC OPERATOR RELATED
TUCC,TRANSIT CONTROL RELATED -- TOWER CONTROLLER ERROR
TUDOE,DOORS OPEN IN ERROR
TUKEY,TWO DRUM SWITCH KEYS IN TRAIN
TUML,MAINLINE STORAGE
TUMVS,OPERATOR VIOLATED SIGNAL
TUNCA,NO COLLECTOR AVAILABLE
TUNIP,OPERATOR NOT IN POSTION
TUNOA,NO OPERATOR AVAILABLE
TUO,TRANSPORTATION OTHER
TUOPO,OPTO OPERATOR RELATED
TUOS,OPERATOR OVERSHOT PLATFORM
TUS,UNABLE TO MAINTAIN SCHEDULE
TUSC,OPERATOR OVERSPEED
TUSET,CONTROLS IMPROPERLY BLOWN DOWN
TUST,STORM TRAINS
TUSUP,SUPERVISORY ERROR
TUUR,UNAUTHORIZED TRAIN REVERSAL BY OPERATOR
